time,close,high,low,open,volumefrom,volumeto
1473292800,625.57,629.3,611.25,613.21,36328.29,22710390.64
1473379200,623.16,627.58,617.32,625.57,28333.32,17710151.19
1473465600,624.52,627.45,621.07,623.16,15279.28,9600113.74
1473552000,605.61,630.77,592.79,624.52,36543.99,22467346.61
1473638400,607.98,610.62,603.03,605.61,27944.86,17058938.65
1473724800,608.61,612.03,604.87,607.98,27515.13,16850869.45
1473811200,609.54,612.16,606.39,608.61,24244.49,14878860.18
1473897600,608.11,610.73,605.1,609.54,22687.24,13892193.46
1473984000,607.78,610.36,605.15,608.11,21847.03,13353736.94
1474070400,607.08,609.61,604.52,607.78,15894.29,9724490.11
1474156800,610.7,612.38,605.22,607.08,16329.91,10004923.58
1474243200,609.85,612.41,606.99,610.7,21236.53,12981851.28
1474329600,609.24,611.27,605.93,609.85,22607.66,13809380.94
1474416000,597.16,608.82,591.69,609.24,36862.36,22059386.51
1474502400,595.63,599.78,592.83,597.16,22441.49,13463966.31
1474588800,602.92,603.7,594.11,595.63,25921.89,15567036.24
1474675200,602.59,605.92,600.5,602.92,13472.8,8196210.74
1474761600,601.49,604.87,598.35,602.59,13278.03,8038079.81
1474848000,606.54,608.46,598.17,601.49,27504.57,16700407.53
1474934400,605.47,608.97,601.73,606.54,25546.7,15534315.77
1475020800,604.67,606.9,602.62,605.47,18936.2,11485005.36
1475107200,604.7,607.23,602.01,604.67,25321.05,15403975.48
1475193600,608.14,608.78,602.25,604.7,23952.58,14534745.84
1475280000,613.41,615,607.07,608.14,16932.63,10415543.03
1475366400,610.69,614.21,607.67,613.41,16534.52,10096653.77
1475452800,611.6,613.2,608.47,610.69,21946.12,13462741.8
1475539200,608.96,612.68,606.5,611.6,24993.32,15300692.52
1475625600,611.82,613.65,607.98,608.96,23401.3,14360536.88
1475712000,610.97,612.68,608.54,611.82,21625.57,13276337.45
1475798400,616.03,619.43,609.12,610.97,32725.06,20167399.2
1475884800,617.65,619.56,614.88,616.03,13620.86,8467434
1475971200,615.77,618.35,613.01,617.65,13430.26,8320759.4
1476057600,617.29,618.81,612.76,615.77,25230.93,15597892.34
1476144000,640.45,642.35,615.6,617.29,55765.89,35367127.91
1476230400,635.99,642.51,632.19,640.45,26952.73,17240000.95
1476316800,635.6,639.52,632.25,635.99,25614.65,16387361.92
1476403200,637.92,640.46,630.66,635.6,31421.75,20114873.61
1476489600,637.03,641.4,635.06,637.92,12381.25,7970927.57
1476576000,640.12,642.18,636.39,637.03,12886.16,8306925.43
1476662400,637.37,641.29,634.89,640.12,27691.09,17742610.19
1476748800,635.34,639.34,632.23,637.37,24598.13,15725013.13
1476835200,629.06,637.27,624.09,635.34,35289.02,22379197.69
1476921600,628.34,630.83,625.48,629.06,20943.99,13252110.98
1477008000,630.45,633.26,627.58,628.34,28087.96,17836383.25
1477094400,655.48,659.89,629.72,630.45,37097.19,24154228.12
1477180800,653.03,661.2,648.78,655.48,21907.32,14418212.04
1477267200,650.49,654.32,645.68,653.03,33243.05,21726106.55
1477353600,651,662.54,647.65,650.49,36742.93,24179462.12
1477440000,674.67,678.39,651.39,651,47670.4,31949607.32
1477526400,682.3,687.88,672.26,674.67,46557.39,31862181.34
1477612800,686.24,688.43,678.63,682.3,38968.34,26829414
1477699200,714.95,720.19,685.22,686.24,54028.31,38351348.64
